"","name","coeff","conf_low","conf_up","pval","fdr","model","outcome"
"1","Cer16",1.28704423462953,1.06199509279257,1.55978391344288,0.0100721886036793,0.027698518660118,"Crude","CVE"
"2","Cer18",1.32477710959843,1.10294066598955,1.59123191685145,0.0026311672336661,0.0144714197851636,"Crude","CVE"
"3","Cer20",1.06171220382215,0.871102438614484,1.29403013213669,0.553092184691936,0.676001559067921,"Crude","CVE"
"4","Cer22",1.03073441104368,0.843064044593226,1.26018116052166,0.767838323927054,0.844622156319759,"Crude","CVE"
"5","Cer24:0",1.01270512686181,0.825570407484692,1.24225827945657,0.903599057934811,0.903599057934811,"Crude","CVE"
"6","Cer24:1",1.19691428052557,0.991062192469348,1.44552360670376,0.0619400206212468,0.124334417736073,"Crude","CVE"
"7","Ratio Cer16/Cer24:0",1.19368109276024,0.987116835492371,1.44347102590198,0.0678187733105854,0.124334417736073,"Crude","CVE"
"8","Ratio Cer18/Cer24:0",1.29241954684928,1.07680669074321,1.55120533651702,0.00587607892519475,0.0215456227257141,"Crude","CVE"
"9","Ratio Cer20/Cer24:0",1.13870117078011,0.934593526564374,1.38738426864835,0.197472375873327,0.310313733515228,"Crude","CVE"
"10","Ratio Cer22/Cer24:0",1.07693890975181,0.879710881349221,1.31838475563543,0.472643302328159,0.649884540701219,"Crude","CVE"
"11","Ratio Cer24:1/Cer24:0",1.34061541886176,1.1143880455413,1.6127682888207,0.00188045053754732,0.0144714197851636,"Crude","CVE"
"12","Cer16",1.03848082156463,0.832095033779441,1.29605678795988,0.738370953687353,0.77669707260199,"Level 2 Adjusted","CVE"
"13","Cer18",1.03440608113202,0.81878554212721,1.30680854220147,0.77669707260199,0.77669707260199,"Level 2 Adjusted","CVE"
"14","Cer20",0.769270355177488,0.584382237187796,1.01265377640958,0.0614410909495121,0.135170400088927,"Level 2 Adjusted","CVE"
"15","Cer22",0.7216728124571,0.536581128533844,0.970611191010029,0.0309867534062307,0.113618095822846,"Level 2 Adjusted","CVE"
"16","Cer24:0",0.760712258757613,0.571693176935786,1.01222677472869,0.0605756119151256,0.135170400088927,"Level 2 Adjusted","CVE"
"17","Cer24:1",0.832042873693053,0.630212808701665,1.09851043029358,0.194581305937028,0.356732394217885,"Level 2 Adjusted","CVE"
"18","Ratio Cer16/Cer24:0",1.32028691738439,1.04081934709597,1.67479356439714,0.0220411493931962,0.113618095822846,"Level 2 Adjusted","CVE"
"19","Ratio Cer18/Cer24:0",1.3349969983128,1.06016966348869,1.68106770725685,0.0140184254734449,0.113618095822846,"Level 2 Adjusted","CVE"
"20","Ratio Cer20/Cer24:0",1.08414216598703,0.86151894999442,1.36429295731529,0.490881184433977,0.674961628596719,"Level 2 Adjusted","CVE"
"21","Ratio Cer22/Cer24:0",0.962718856904621,0.767451332917089,1.2076695390141,0.742533247242678,0.77669707260199,"Level 2 Adjusted","CVE"
"22","Ratio Cer24:1/Cer24:0",1.09896930623129,0.885945256502888,1.36321463112269,0.390658108013296,0.613891312592322,"Level 2 Adjusted","CVE"
"23","Cer16",1.05632181347591,0.84984200156886,1.31296849480864,0.621474344549877,0.759579754449849,"Level 1 Adjusted","CVE"
"24","Cer18",1.03941907505499,0.825095615266825,1.30941431950137,0.74279712081017,0.817076832891187,"Level 1 Adjusted","CVE"
"25","Cer20",0.776126595013599,0.595834790928693,1.01097233773228,0.0602368760352036,0.132521127277448,"Level 1 Adjusted","CVE"
"26","Cer22",0.734233152144701,0.552746914962848,0.975307698903356,0.0329611313421547,0.120857481587901,"Level 1 Adjusted","CVE"
"27","Cer24:0",0.754938709642021,0.573472479689933,0.993827037043021,0.0450585248682846,0.123910943387783,"Level 1 Adjusted","CVE"
"28","Cer24:1",0.834809856492487,0.638956842469407,1.09069572493133,0.185652099329216,0.340362182103563,"Level 1 Adjusted","CVE"
"29","Ratio Cer16/Cer24:0",1.36891111793911,1.08591435461413,1.72565878778089,0.00787223835900241,0.0432973109745132,"Level 1 Adjusted","CVE"
"30","Ratio Cer18/Cer24:0",1.37309663967579,1.09615890816398,1.7200009668734,0.00580095667539377,0.0432973109745132,"Level 1 Adjusted","CVE"
"31","Ratio Cer20/Cer24:0",1.11889861083467,0.893883173871729,1.40055673707915,0.326740436455242,0.449268100125958,"Level 1 Adjusted","CVE"
"32","Ratio Cer22/Cer24:0",1.01868869688538,0.818110542355763,1.26844308615543,0.868545956778218,0.868545956778218,"Level 1 Adjusted","CVE"
"33","Ratio Cer24:1/Cer24:0",1.13762939537343,0.922604027713742,1.40276933802772,0.227685730751521,0.357791862609533,"Level 1 Adjusted","CVE"
"34","Cer16",1.51871843100092,1.0416211721932,2.2143421564727,0.0298621266618565,0.0821208483201053,"Crude","ESKD"
"35","Cer18",1.20041610940849,0.822553527516266,1.75186025896523,0.343574408404677,0.472414811556431,"Crude","ESKD"
"36","Cer20",1.16289153190665,0.793798574916627,1.70360184272469,0.438563843202313,0.536022475025049,"Crude","ESKD"
"37","Cer22",1.13479464063727,0.772636762249928,1.66670671049756,0.519088866660636,0.570997753326699,"Crude","ESKD"
"38","Cer24:0",0.914093631771351,0.59862778217315,1.39580419173271,0.677481698338129,0.677481698338129,"Crude","ESKD"
"39","Cer24:1",1.30807413825451,0.911362014124335,1.877473413037,0.145236810557973,0.228229273733957,"Crude","ESKD"
"40","Ratio Cer16/Cer24:0",1.42126059149648,0.9979942604621,2.02404136874054,0.0513152847589064,0.112893626469594,"Crude","ESKD"
